Station,Location,Country,Capacity (MW),Fuel Type,Type,Year,Status,Sponsor/Owner,Note
An Khanh 1 (Khanh Hoa power station),Thai Nguyen,Vietnam,116,Coal,Non-renewable,2015,Operating,An Khanh Electricity JSC,
Cam Pha Phase I-II,Quang Ninh,Vietnam,680,Coal,Non-renewable,2011,Operating,VINACOMIN,
Cao Ngan,Thai Nguyen,Vietnam,115,Coal,Non-renewable,2006,Operating,VINACOMIN,
Dong Nai Formosa Unit 1-2,Dong Nai,Vietnam,300,Coal,Non-renewable,2004,Operating,Hung Nghiep Formosa,
Dong Nai Formosa Unit 3,Dong Nai,Vietnam,150,Coal,Non-renewable,2018,Operating,Hung Nghiep Formosa,
Duyen Hai 1,Tra Vinh,Vietnam,1244,Coal,Non-renewable,2015,Operating,EVN,
Duyen Hai 3,Tra Vinh,Vietnam,1244,Coal,Non-renewable,2016,Operating,EVN,
"Ha Tinh Formosa Plastics Steel Complex Unit 1,2,5 (Formosa Ha Tinh)",Ha Tinh,Vietnam,450,Coal,Non-renewable,2018,Operating,Hung Nghiep Formosa Ha Tinh,
Hai Phong 1-2,Hai Phong,Vietnam,1200,Coal,Non-renewable,2013,Operating,EVNGENCO No 2,
Lee & Man,Hau Giang,Vietnam,125,Coal,Non-renewable,2018,Operating,Lee & Man Vietnam Paper LLC,
Mao Khe,Quang Ninh,Vietnam,440,Coal,Non-renewable,2013,Operating,VINACOMIN,
Mong Duong 1,Quang Ninh,Vietnam,1080,Coal,Non-renewable,2015,Operating,EVN,
Mong Duong 2,Quang Ninh,Vietnam,1240,Coal,Non-renewable,2015,Operating,AES-VCM Mong Dong Power Co Ltd,
Na Duong 1,Lang Son,Vietnam,110,Coal,Non-renewable,2005,Operating,VINACOMIN,
Nghi Son 1,Thanh Hoa,Vietnam,600,Coal,Non-renewable,2014,Operating,EVNGENCO No 1,
Ninh Binh,Ninh Binh,Vietnam,100,Coal,Non-renewable,1974,Operating,Ninh Binh Thermal Power JSC,
Nong Son 1,Quang Nam,Vietnam,30,Coal,Non-renewable,2014,Operating,VINACOMIN,
Pha Lai 1,Hai Duong,Vietnam,440,Coal,Non-renewable,1986,Operating,Pha Lai Thermal Power JSC,
Pha Lai 2,Hai Duong,Vietnam,600,Coal,Non-renewable,2001,Operating,Pha Lai Thermal Power JSC,
Quang Ninh 1-2,Quang Ninh,Vietnam,600,Coal,Non-renewable,2012,Operating,Quang Ninh Thermal Power JSC,
Son Dong,Bac Giang,Vietnam,220,Coal,Non-renewable,2009,Operating,VINACOMIN,
Thai Binh 1,Thai Binh,Vietnam,600,Coal,Non-renewable,2017,Operating,EVN,
Thang Long (Le Loi power station),Quang Ninh,Vietnam,600,Coal,Non-renewable,2018,Operating,Hanoi Export-Import Company,
Uong Bi I extension,Quang Ninh,Vietnam,300,Coal,Non-renewable,2007,Operating,EVNGENCO No 1,
Uong Bi I,Quang Ninh,Vietnam,105,Coal,Non-renewable,1976,Operating,EVNGENCO No 1,retire in 2021
Uong Bi II extension,Quang Ninh,Vietnam,330,Coal,Non-renewable,2014,Operating,EVNGENCO No 1,
Vedan Vietnam Cogeneration,Dong Nai,Vietnam,60,Coal,Non-renewable,2015,Operating,Vedan Vietnam JSC,
Vinh Tan 1,Binh Thuan,Vietnam,1200,Coal,Non-renewable,2019,Operating,"China Southern Power Grid, Vinacomin",
Vinh Tan 2,Binh Thuan,Vietnam,1244,Coal,Non-renewable,2014,Operating,EVNGENCO No 3,
Vinh Tan 4,Binh Thuan,Vietnam,1200,Coal,Non-renewable,2018,Operating,EVN,
Vung Ang 1,Ha Tinh,Vietnam,1200,Coal,Non-renewable,2015,Operating,PetroVietnam Power Corp,
Ca Mau 1&2 gas power plant,Ca Mau,Vietnam,1500,Gas,Non-renewable,2008,Operating,PetroVietnam Power Ca Mau,
Nhon Trach 1 gas power plant,Dong Nai,Vietnam,450,Gas,Non-renewable,2009,Operating,PetroVietnam Power Nhon Trach,
Nhon Trach 2 Combined Cycle Gas Turbine Plant,Dong Nai,Vietnam,750,Gas,Non-renewable,2011,Operating,PetroVietnam Power Nhon Trach 2,
Phu My 2.1,Vung Tau,Vietnam,477,Gas,Non-renewable,1997,Operating,"Phu My Thermal Power Company, GENCO3",
Ba Ria,Vung Tau,Vietnam,340,Gas,Non-renewable,1997,Operating,"Ba Ria Thermal Power Company, GENCO 3",
Phu My 2.1 extension,Vung Tau,Vietnam,468,Gas,Non-renewable,1999,Operating,"Phu My Thermal Power Company, GENCO 3",
Phu My 4,Vung Tau,Vietnam,477,Gas,Non-renewable,2004,Operating,"Phu My Thermal Power Company, GENCO 3",
O Mon,Can Tho,Vietnam,660,Gas,Non-renewable,2012,Operating,EVNGENCO2,
Phu My 1,Vung Tau,Vietnam,1118,Gas,Non-renewable,2001,Operating,"Phu My Thermal Power Company, GENCO 3",
Phu My 3,Vung Tau,Vietnam,720,Gas,Non-renewable,2004,Operating,"Phu My 3 Bot Power Company LTD, BP Holdings BV (England), SempCorp Utilities company (Singapore), Kyushu and Nissho Iwai (Japan)",
Phu My 2.2,Vung Tau,Vietnam,720,Gas,Non-renewable,2005,Operating,"Mekong Energy Company LTD, Electricité De France (EDF), Sumitomo, TEPCO",
TTC Phong Dien (VN version),Thua Thien Hue,Vietnam,48,Solar,Renewable,25/9/2018,,GEC/TTC,EPC: Sharp-SSSA-NSN partnership
TTC Krong Pa (VN version),Gia Lai,Vietnam,69,Solar,Renewable,4/11/2018,,GEC/TTC,
BP Solar 1(VN version),Ninh Thuan,Vietnam,46,Solar,Renewable,20/1/2019,,Bac Phuong JSC,
Srepok 1(VN version),Dak Lak,Vietnam,50,Solar,Renewable,31/1/2019,,Dai Hai Investment and Development JSC,
Long Thanh 1 (VN version),Dak Lak,Vietnam,50,Solar,Renewable,May-19,,Long Thanh Infrastructure Investment and Development JS,
Quang Minh solar power(VN version),Dak Lak,Vietnam,50,Solar,Renewable,31/1/2019,,Dai Hai Power + Srepok Solar,
TTC 1 solar power (VN version),Tay Ninh,Vietnam,68.8,Solar,Renewable,6/3/2019,,TTC Green Energy,
TTC 2  solar power (VN version),Tay Ninh,Vietnam,50,Solar,Renewable,19/4/2019,,TTC Green Energy,
BIM 1(VN version),Ninh Thuan,Vietnam,30,Solar,Renewable,27/3/2019,,Bim Group,BIM - AC Renewable partnership
BIM 2(VN version),Ninh Thuan,Vietnam,250,Solar,Renewable,May-19,,Bim Group,Powerway Mounting structure. Sungrow Inverter. AC Energy – the subsidiaries of Ayala Corporation (Philippines) is the owner and Bouygues Energies & Services (France) is the EPC contractor. BIM - AC Renewable partnership.
BIM 3(VN version),Ninh Thuan,Vietnam,50,Solar,Renewable,May-19,,Bim Group,Powerway Mounting structure. Sungrow Inverter. AC Energy – the subsidiaries of Ayala Corporation (Philippines) is the owner and Bouygues Energies & Services (France) is the EPC contractor. BIM - AC Renewable partnership.
Yen Dinh solar power(VN version),Thanh Hoa,Vietnam,38,Solar,Renewable,22/3/2019,,Song Lam Son La Energy JSC,
Vinh Tan Power Center Phase 1(VN version),Binh Thuan,Vietnam,6.2,Solar,Renewable,23/1/2019,,EVNPECC2,
Vinh Tan Power Center Phase 2(VN version),Binh Thuan,Vietnam,42.7,Solar,Renewable,22/6/2019,,EVNGENCO 3,
